Id,IsActive,Name,Product2Id,Pricebook2Id,UnitPrice,UseStandardPrice,Product2.Name,Pricebook2.Name
01u3G000001K5oXQAS,true,SmartBytes Cloud Core,01t3G000000sNNyQAM,01s3G000000XOOBQA4,60,false,SmartBytes Cloud Core,Standard Price Book
01u3G000001K5oYQAS,true,High Availability,01t3G000000sNO8QAM,01s3G000000XOOBQA4,10,false,High Availability,Standard Price Book
01u3G000001K5oZQAS,true,Quick Start Enablement,01t3G000000sNOQQA2,01s3G000000XOOBQA4,5000,false,Quick Start Enablement,Standard Price Book
01u3G000001K5oaQAC,true,Standard Success Plan,01t3G000000sNOSQA2,01s3G000000XOOBQA4,0,false,Standard Success Plan,Standard Price Book
01u3G000001K5obQAC,true,Data Protector,01t3G000000sNNzQAM,01s3G000000XOOBQA4,5000,false,Data Protector,Standard Price Book
01u3G000001K5ocQAC,true,Custom SKU,01t3G000000sNOHQA2,01s3G000000XOOBQA4,0,false,Custom SKU,Standard Price Book
01u3G000001K5odQAC,true,SmartBytes Enterprise Core,01t3G000000sNNxQAM,01s3G000000XOOBQA4,80,false,SmartBytes Enterprise Core,Standard Price Book
01u3G000001K5oeQAC,true,SmartBytes Bundle - Complete Solution,01t3G000000sNNwQAM,01s3G000000XOOBQA4,0,false,SmartBytes Bundle - Complete Solution,Standard Price Book
01u3G000001K5ofQAC,true,Unlimited Data per Day,01t3G000000sNO1QAM,01s3G000000XOOBQA4,10,false,Unlimited Data per Day,Standard Price Book
01u3G000001K5ogQAC,true,Paid Data Plan,01t3G000000sNO0QAM,01s3G000000XOOBQA4,0,false,Paid Data Plan,Standard Price Book
01u3G000001K5ohQAC,true,Data Navigator,01t3G000000sNO4QAM,01s3G000000XOOBQA4,5,false,Data Navigator,Standard Price Book
01u3G000001K5oiQAC,true,Event Management,01t3G000000sNOFQA2,01s3G000000XOOBQA4,1000,false,Event Management,Standard Price Book
01u3G000001K5ojQAC,true,Professional Services - Project Management Daily Rate,01t3G000000sNONQA2,01s3G000000XOOBQA4,500,false,Professional Services - Project Management Daily Rate,Standard Price Book
01u3G000001K5okQAC,true,SmartBytes Fundamentals Training,01t3G000000sNOIQA2,01s3G000000XOOBQA4,550,false,SmartBytes Fundamentals Training,Standard Price Book
01u3G000001K5olQAC,true,Professional Services Daily Rate,01t3G000000sNOMQA2,01s3G000000XOOBQA4,300,false,Professional Services Daily Rate,Standard Price Book
01u3G000001K5omQAC,true,SmartBytes Essentials Training,01t3G000000sNOJQA2,01s3G000000XOOBQA4,8500,false,SmartBytes Essentials Training,Standard Price Book
01u3G000001K5onQAC,true,Clustering,01t3G000000sNOBQA2,01s3G000000XOOBQA4,15,false,Clustering,Standard Price Book
01u3G000001K5ooQAC,true,Developer Environment,01t3G000000sNO9QAM,01s3G000000XOOBQA4,35,false,Developer Environment,Standard Price Book
01u3G000001K5opQAC,true,SmartBytes Advisory Services,01t3G000000sNORQA2,01s3G000000XOOBQA4,2450,false,SmartBytes Advisory Services,Standard Price Book
01u3G000001K5oqQAC,true,Monthly Named Users,01t3G000000sNO5QAM,01s3G000000XOOBQA4,10,false,Monthly Named Users,Standard Price Book
01u3G000001K5orQAC,true,Single Sign-On/LDAP,01t3G000000sNODQA2,01s3G000000XOOBQA4,5,false,Single Sign-On/LDAP,Standard Price Book
