Name,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__ProductName__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c,SBQQ__ConfiguredSKU__r.Name,SBQQ__DiscountSchedule__r.Name,SBQQ__Feature__r.Name,SBQQ__OptionalSKU__r.Name,$$SBQQ__ConfiguredSKU__r.Name$SBQQ__ProductName__c$Name,SBQQ__RenewalProductOption__r.$$SBQQ__ConfiguredSKU__r.Name$SBQQ__ProductName__c$Name
PO-000000,,false,false,,,,,,,,false,,,,4310,Professional Services Daily Rate,true,25,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Ongoing Professional Services,Professional Services Daily Rate,SmartBytes Bundle - Complete Solution;Professional Services Daily Rate;PO-000000,
PO-000001,,false,false,,,,,,,,false,,,,4340,Professional Service Hours (Consumption),false,1,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Ongoing Professional Services,Professional Service Hours (Consumption),SmartBytes Bundle - Complete Solution;Professional Service Hours (Consumption);PO-000001,
PO-000002,,false,false,,,,,,,,false,,,,1110,SmartBytes Enterprise Core,false,,,false,true,,true,Related Product,,false,SmartBytes Bundle - Complete Solution,,SmartBytes Core Platform,SmartBytes Enterprise Core,SmartBytes Bundle - Complete Solution;SmartBytes Enterprise Core;PO-000002,
PO-000003,,false,false,,,,,,,,false,,,,1120,SmartBytes Cloud Core,false,,,false,false,,true,Related Product,,false,SmartBytes Bundle - Complete Solution,,SmartBytes Core Platform,SmartBytes Cloud Core,SmartBytes Bundle - Complete Solution;SmartBytes Cloud Core;PO-000003,
PO-000004,,false,false,,,,,,,,false,,,,3210,Paid Data Plan,false,,,false,true,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advanced IT Tools,Paid Data Plan,SmartBytes Bundle - Complete Solution;Paid Data Plan;PO-000004,
PO-000005,,false,false,,,,,,,,false,,,,3110,Application Monitoring,false,1,,true,true,,false,Component,,false,SmartBytes Bundle - Complete Solution,,IT Operations,Application Monitoring,SmartBytes Bundle - Complete Solution;Application Monitoring;PO-000005,
PO-000006,,false,false,,,,,,,,false,,,,3140,Data Protector,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,IT Operations,Data Protector,SmartBytes Bundle - Complete Solution;Data Protector;PO-000006,
PO-000007,,false,false,,,,,,,,false,,,5,4320,Professional Services - Project Management Daily Rate,true,5,,false,true,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Ongoing Professional Services,Professional Services - Project Management Daily Rate,SmartBytes Bundle - Complete Solution;Professional Services - Project Management Daily Rate;PO-000007,
PO-000008,,false,false,,,,,,,,false,,,,3310,Custom SKU,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Custom SKU,Custom SKU,SmartBytes Bundle - Complete Solution;Custom SKU;PO-000008,
PO-000009,,false,false,,,,,,,,false,,,,1350,Clustering,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Clustering,SmartBytes Bundle - Complete Solution;Clustering;PO-000009,
PO-000010,,false,false,,,,,,,,false,,,,1370,Single Sign-On/LDAP,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Single Sign-On/LDAP,SmartBytes Bundle - Complete Solution;Single Sign-On/LDAP;PO-000010,
PO-000011,,false,false,,,,,,,,false,,,,4110,SmartBytes Fundamentals Training,false,,,false,true,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Training/Education,SmartBytes Fundamentals Training,SmartBytes Bundle - Complete Solution;SmartBytes Fundamentals Training;PO-000011,
PO-000012,,false,false,,,,,,,,false,,,,4210,Quick Start Enablement,false,1,,false,true,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Professional Services Packages,Quick Start Enablement,SmartBytes Bundle - Complete Solution;Quick Start Enablement;PO-000012,
PO-000013,,false,false,,,,,,,,false,,,,3130,Network Operations Management,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,IT Operations,Network Operations Management,SmartBytes Bundle - Complete Solution;Network Operations Management;PO-000013,
PO-000014,,false,false,,,,,,,,false,,,,1330,Developer Environment,false,,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Developer Environment,SmartBytes Bundle - Complete Solution;Developer Environment;PO-000014,
PO-000015,,false,false,,,,,,,,false,,,,3240,Machine Learning,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advanced IT Tools,Machine Learning,SmartBytes Bundle - Complete Solution;Machine Learning;PO-000015,
PO-000016,,false,false,,,,,,,,false,,,,3250,Data Navigator,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advanced IT Tools,Data Navigator,SmartBytes Bundle - Complete Solution;Data Navigator;PO-000016,
PO-000017,,false,false,,,,,,,,false,,,,1220,Monthly Logins,false,1,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,User Licenses,Monthly Logins,SmartBytes Bundle - Complete Solution;Monthly Logins;PO-000017,
PO-000018,,false,false,,,,,,,,false,,,,1310,Anomaly Detection,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Anomaly Detection,SmartBytes Bundle - Complete Solution;Anomaly Detection;PO-000018,
PO-000019,,false,false,,,,,,,,false,,,,1340,Disaster Recovery,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Disaster Recovery,SmartBytes Bundle - Complete Solution;Disaster Recovery;PO-000019,
PO-000020,,false,false,,,,,,,,false,,,,1360,Distributed Search,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,Distributed Search,SmartBytes Bundle - Complete Solution;Distributed Search;PO-000020,
PO-000021,,false,false,,,,,,,,false,,,,4220,Professional Services Scope of Work,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Professional Services Packages,Professional Services Scope of Work,SmartBytes Bundle - Complete Solution;Professional Services Scope of Work;PO-000021,
PO-000022,,false,false,,,,,,,,false,,,,3220,Unlimited Data per Day,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advanced IT Tools,Unlimited Data per Day,SmartBytes Bundle - Complete Solution;Unlimited Data per Day;PO-000022,
PO-000023,,false,false,,,,,,,,false,,,,5120,Premium Success Plan,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Success Plan,Premium Success Plan,SmartBytes Bundle - Complete Solution;Premium Success Plan;PO-000023,
PO-000024,,false,false,,,,,,,,false,,,,3120,Event Management,false,1,,false,true,,false,Accessory,,false,SmartBytes Bundle - Complete Solution,,IT Operations,Event Management,SmartBytes Bundle - Complete Solution;Event Management;PO-000024,
PO-000025,,false,false,,,,,,,,false,,,,4120,SmartBytes Essentials Training,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Training/Education,SmartBytes Essentials Training,SmartBytes Bundle - Complete Solution;SmartBytes Essentials Training;PO-000025,
PO-000026,,false,false,,,,,,,,false,,,,1210,Monthly Named Users,true,125,,false,true,,false,Related Product,5,false,SmartBytes Bundle - Complete Solution,,User Licenses,Monthly Named Users,SmartBytes Bundle - Complete Solution;Monthly Named Users;PO-000026,
PO-000027,,false,false,,,,,,,,false,,,,3230,Real-time Alerts,false,,,false,true,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advanced IT Tools,Real-time Alerts,SmartBytes Bundle - Complete Solution;Real-time Alerts;PO-000027,
PO-000028,,false,false,,,,,,,,false,,,,4230,Professional Services Project,false,1,,false,false,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Professional Services Packages,Professional Services Project,SmartBytes Bundle - Complete Solution;Professional Services Project;PO-000028,
PO-000029,,false,true,,,,,,,,false,,,,5110,Standard Success Plan,false,1,,false,true,,false,Component,,false,SmartBytes Bundle - Complete Solution,,Success Plan,Standard Success Plan,SmartBytes Bundle - Complete Solution;Standard Success Plan;PO-000029,
PO-000030,,false,false,,,,,,,,false,,,,1320,High Availability,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Add-Ons,High Availability,SmartBytes Bundle - Complete Solution;High Availability;PO-000030,
PO-000031,,false,false,,,,,,,,false,,,,4410,SmartBytes Advisory Services,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Advisory Services,SmartBytes Advisory Services,SmartBytes Bundle - Complete Solution;SmartBytes Advisory Services;PO-000031,
PO-000032,,false,false,,,,,,,,false,,,,4330,Professional Services - Associate Consultant Daily Rate,false,,,false,false,,false,Related Product,,false,SmartBytes Bundle - Complete Solution,,Ongoing Professional Services,Professional Services - Associate Consultant Daily Rate,SmartBytes Bundle - Complete Solution;Professional Services - Associate Consultant Daily Rate;PO-000032,
