Id,Name,SBQQ__OptionalSKU__r.Name,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__ConfiguredSKU__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__DiscountSchedule__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__Feature__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__OptionalSKU__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__RenewalProductOption__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c,SBQQ__DiscountSchedule__r.Name,SBQQ__ConfiguredSKU__r.Name,SBQQ__Feature__r.Name,SBQQ__RenewalProductOption__r.Name
a0o3G000000370uQAA,PO-000002,SmartBytes Enterprise Core,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98EAAR,,,1110,01t3G000000sNNxQAM,FALSE,,,,FALSE,TRUE,,TRUE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,SmartBytes Core Platform,
a0o3G000000370vQAA,PO-000003,SmartBytes Cloud Core,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98EAAR,,,1120,01t3G000000sNNyQAM,FALSE,,,,FALSE,FALSE,,TRUE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,SmartBytes Core Platform,
a0o3G000000371IQAQ,PO-000026,Monthly Named Users,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98LAAR,,,1210,01t3G000000sNO5QAM,TRUE,125,,,FALSE,TRUE,,FALSE,Related Product,5,FALSE,,SmartBytes Bundle - Complete Solution,User Licenses,
a0o3G0000003719QAA,PO-000017,Monthly Logins,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98LAAR,,,1220,01t3G000000sNO6QAM,FALSE,1,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,User Licenses,
a0o3G000000371AQAQ,PO-000018,Anomaly Detection,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1310,01t3G000000sNO7QAM,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G000000371MQAQ,PO-000030,High Availability,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1320,01t3G000000sNO8QAM,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G0000003716QAA,PO-000014,Developer Environment,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1330,01t3G000000sNO9QAM,FALSE,,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G000000371BQAQ,PO-000019,Disaster Recovery,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1340,01t3G000000sNOAQA2,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G0000003711QAA,PO-000009,Clustering,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1350,01t3G000000sNOBQA2,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G000000371CQAQ,PO-000020,Distributed Search,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1360,01t3G000000sNOCQA2,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G0000003712QAA,PO-000010,Single Sign-On/LDAP,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98KAAR,,,1370,01t3G000000sNODQA2,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Add-Ons,
a0o3G000000370xQAA,PO-000005,Application Monitoring,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98HAAR,,,3110,01t3G000000sNOEQA2,FALSE,1,,,TRUE,TRUE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,IT Operations,
a0o3G000000371GQAQ,PO-000024,Event Management,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98HAAR,,,3120,01t3G000000sNOFQA2,FALSE,1,,,FALSE,TRUE,,FALSE,Accessory,,FALSE,,SmartBytes Bundle - Complete Solution,IT Operations,
a0o3G0000003715QAA,PO-000013,Network Operations Management,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98HAAR,,,3130,01t3G000000sNOGQA2,FALSE,1,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,IT Operations,
a0o3G000000370yQAA,PO-000006,Data Protector,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98HAAR,,,3140,01t3G000000sNNzQAM,FALSE,1,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,IT Operations,
a0o3G000000370wQAA,PO-000004,Paid Data Plan,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98CAAR,,,3210,01t3G000000sNO0QAM,FALSE,,,,FALSE,TRUE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Advanced IT Tools,
a0o3G000000371EQAQ,PO-000022,Unlimited Data per Day,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98CAAR,,,3220,01t3G000000sNO1QAM,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Advanced IT Tools,
a0o3G000000371JQAQ,PO-000027,Real-time Alerts,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98CAAR,,,3230,01t3G000000sNO2QAM,FALSE,,,,FALSE,TRUE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Advanced IT Tools,
a0o3G0000003717QAA,PO-000015,Machine Learning,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98CAAR,,,3240,01t3G000000sNO3QAM,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Advanced IT Tools,
a0o3G0000003718QAA,PO-000016,Data Navigator,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98CAAR,,,3250,01t3G000000sNO4QAM,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Advanced IT Tools,
a0o3G0000003710QAA,PO-000008,Custom SKU,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98IAAR,,,3310,01t3G000000sNOHQA2,FALSE,,,,FALSE,FALSE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Custom SKU,
a0o3G0000003713QAA,PO-000011,SmartBytes Fundamentals Training,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98JAAR,,,4110,01t3G000000sNOIQA2,FALSE,,,,FALSE,TRUE,,FALSE,Related Product,,FALSE,,SmartBytes Bundle - Complete Solution,Training/Education,
a0o3G000000371HQAQ,PO-000025,SmartBytes Essentials Training,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98JAAR,,,4120,01t3G000000sNOJQA2,FALSE,1,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,Training/Education,
a0o3G0000003714QAA,PO-000012,Quick Start Enablement,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98GAAR,,,4210,01t3G000000sNOQQA2,FALSE,1,,,FALSE,TRUE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,Professional Services Packages,
a0o3G000000371DQAQ,PO-000021,Professional Services Scope of Work,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98GAAR,,,4220,01t3G000000sNOKQA2,FALSE,1,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,Professional Services Packages,
a0o3G000000371KQAQ,PO-000028,Professional Services Project,,FALSE,FALSE,,,,,01t3G000000sNNwQAM,,,,,FALSE,,a0n2600000Ah98GAAR,,,4230,01t3G000000sNOLQA2,FALSE,1,,,FALSE,FALSE,,FALSE,Component,,FALSE,,SmartBytes Bundle - Complete Solution,Professional Services Packages,
